String_Type,Window_m,Unique_Substrings_Sm,LZ77_z,Theoretical_Bound_mz,Ratio
DNA,435,1827,20,8700,0.21
Worst-Case,435,4000,616,267960,0.014927601134497686
DNA,436,1831,20,8720,0.20997706422018347
Worst-Case,436,4000,616,268576,0.014893363517216728
DNA,437,1835,20,8740,0.20995423340961097
Worst-Case,437,4000,616,269192,0.01485928259383637
DNA,438,1839,20,8760,0.20993150684931508
Worst-Case,438,4000,616,269808,0.014825357291110716
DNA,439,1843,20,8780,0.20990888382687928
Worst-Case,439,4000,616,270424,0.014791586545572877
DNA,440,1847,20,8800,0.20988636363636365
Worst-Case,440,4000,616,271040,0.01475796930342385
DNA,441,1851,20,8820,0.2098639455782313
Worst-Case,441,4000,616,271656,0.014724504520422888
DNA,442,1855,20,8840,0.20984162895927602
Worst-Case,442,4000,616,272272,0.014691191161779396
DNA,443,1859,20,8860,0.20981941309255078
Worst-Case,443,4000,616,272888,0.01465802820204626
DNA,444,1863,20,8880,0.2097972972972973
Worst-Case,444,4000,616,273504,0.014625014625014626
DNA,445,1867,20,8900,0.2097752808988764
Worst-Case,445,4000,616,274120,0.014592149423610097
DNA,446,1871,20,8920,0.20975336322869956
Worst-Case,446,4000,616,274736,0.014559431599790344
DNA,447,1875,20,8940,0.20973154362416108
Worst-Case,447,4000,616,275352,0.014526860164444056
DNA,448,1879,20,8960,0.20970982142857142
Worst-Case,448,4000,616,275968,0.01449443413729128
DNA,449,1883,20,8980,0.20968819599109131
Worst-Case,449,4000,616,276584,0.014462152546785064
DNA,450,1887,20,9000,0.20966666666666667
Worst-Case,450,4000,616,277200,0.01443001443001443
DNA,451,1891,20,9020,0.20964523281596453
Worst-Case,451,4000,616,277816,0.014398018832608633
DNA,452,1895,20,9040,0.20962389380530974
Worst-Case,452,4000,616,278432,0.014366164808642685
DNA,453,1899,20,9060,0.2096026490066225
Worst-Case,453,4000,616,279048,0.014334451420544136
DNA,454,1903,20,9080,0.20958149779735682
Worst-Case,454,4000,616,279664,0.014302877739001086
DNA,455,1907,20,9100,0.20956043956043957
Worst-Case,455,4000,616,280280,0.014271442842871414
DNA,456,1911,20,9120,0.20953947368421053
Worst-Case,456,4000,616,280896,0.014240145819093188
DNA,457,1915,20,9140,0.20951859956236324
Worst-Case,457,4000,616,281512,0.014208985762596266
DNA,458,1919,20,9160,0.20949781659388647
Worst-Case,458,4000,616,282128,0.014177961776215052
DNA,459,1923,20,9180,0.20947712418300654
Worst-Case,459,4000,616,282744,0.014147072970602382
DNA,460,1927,20,9200,0.20945652173913043
Worst-Case,460,4000,616,283360,0.014116318464144552
DNA,461,1931,20,9220,0.20943600867678958
Worst-Case,461,4000,616,283976,0.014085697382877425
DNA,462,1935,20,9240,0.20941558441558442
Worst-Case,462,4000,616,284592,0.014055208860403666
DNA,463,1939,20,9260,0.2093952483801296
Worst-Case,463,4000,616,285208,0.014024852037811002
DNA,464,1943,20,9280,0.209375
Worst-Case,464,4000,616,285824,0.013994626063591581
DNA,465,1947,20,9300,0.20935483870967742
Worst-Case,465,4000,616,286440,0.013964530093562352
DNA,466,1951,20,9320,0.20933476394849784
Worst-Case,466,4000,616,287056,0.013934563290786467
DNA,467,1955,20,9340,0.20931477516059957
Worst-Case,467,4000,616,287672,0.013904724825495703
DNA,468,1959,20,9360,0.2092948717948718
Worst-Case,468,4000,616,288288,0.013875013875013876
DNA,469,1963,20,9380,0.20927505330490406
Worst-Case,469,4000,616,288904,0.013845429623681222
DNA,470,1967,20,9400,0.20925531914893616
Worst-Case,470,4000,616,289520,0.013815971262779773
DNA,471,1971,20,9420,0.20923566878980893
Worst-Case,471,4000,616,290136,0.013786637990459646
DNA,472,1975,20,9440,0.20921610169491525
Worst-Case,472,4000,616,290752,0.0137574290116663
DNA,473,1979,20,9460,0.20919661733615222
Worst-Case,473,4000,616,291368,0.013728343538068696
DNA,474,1983,20,9480,0.20917721518987342
Worst-Case,474,4000,616,291984,0.013699380787988383
DNA,475,1987,20,9500,0.2091578947368421
Worst-Case,475,4000,616,292600,0.01367053998632946
DNA,476,1991,20,9520,0.20913865546218488
Worst-Case,476,4000,616,293216,0.01364182036450944
DNA,477,1995,20,9540,0.20911949685534592
Worst-Case,477,4000,616,293832,0.013613221160390971
DNA,478,1999,20,9560,0.20910041841004184
