String_Type,Window_m,Unique_Substrings_Sm,LZ77_z,Theoretical_Bound_mz,Ratio
Worst-Case,503,4000,616,309848,0.01290955565309442
DNA,504,2084,20,10080,0.20674603174603173
Worst-Case,504,4000,616,310464,0.012883941455370028
DNA,505,2087,20,10100,0.20663366336633662
Worst-Case,505,4000,616,311080,0.012858428700012858
DNA,506,2090,20,10120,0.20652173913043478
Worst-Case,506,4000,616,311696,0.012833016785585955
DNA,507,2093,20,10140,0.2064102564102564
Worst-Case,507,4000,616,312312,0.012807705115397423
DNA,508,2096,20,10160,0.2062992125984252
Worst-Case,508,4000,616,312928,0.012782493097453728
DNA,509,2099,20,10180,0.206188605108055
Worst-Case,509,4000,616,313544,0.012757380144413544
DNA,510,2102,20,10200,0.20607843137254903
Worst-Case,510,4000,616,314160,0.012732365673542145
DNA,511,2105,20,10220,0.20596868884540118
Worst-Case,511,4000,616,314776,0.012707449106666328
DNA,512,2108,20,10240,0.205859375
Worst-Case,512,4000,616,315392,0.01268262987012987
DNA,513,2111,20,10260,0.2057504873294347
Worst-Case,513,4000,616,316008,0.0126579073947495
DNA,514,2114,20,10280,0.2056420233463035
Worst-Case,514,4000,616,316624,0.012633281115771389
DNA,515,2117,20,10300,0.20553398058252428
Worst-Case,515,4000,616,317240,0.012608750472828143
DNA,516,2120,20,10320,0.2054263565891473
Worst-Case,516,4000,616,317856,0.012584314909896305
DNA,517,2123,20,10340,0.2053191489361702
Worst-Case,517,4000,616,318472,0.01255997387525434
DNA,518,2126,20,10360,0.2052123552123552
Worst-Case,518,4000,616,319088,0.012535726821441107
DNA,519,2129,20,10380,0.20510597302504818
Worst-Case,519,4000,616,319704,0.012511573205214824
DNA,520,2132,20,10400,0.205
Worst-Case,520,4000,616,320320,0.012487512487512488
DNA,521,2135,20,10420,0.20489443378119002
Worst-Case,521,4000,616,320936,0.012463544133409776
DNA,522,2138,20,10440,0.20478927203065134
Worst-Case,522,4000,616,321552,0.012439667612081404
DNA,523,2141,20,10460,0.20468451242829827
Worst-Case,523,4000,616,322168,0.012415882396761937
DNA,524,2144,20,10480,0.20458015267175572
Worst-Case,524,4000,616,322784,0.01239218796470705
DNA,525,2147,20,10500,0.20447619047619048
Worst-Case,525,4000,616,323400,0.012368583797155226
DNA,526,2150,20,10520,0.20437262357414449
Worst-Case,526,4000,616,324016,0.012345069379289912
DNA,527,2153,20,10540,0.20426944971537003
Worst-Case,527,4000,616,324632,0.012321644200202075
DNA,528,2156,20,10560,0.20416666666666666
Worst-Case,528,4000,616,325248,0.012298307752853208
DNA,529,2159,20,10580,0.20406427221172022
Worst-Case,529,4000,616,325864,0.01227505953403874
DNA,530,2162,20,10600,0.2039622641509434
Worst-Case,530,4000,616,326480,0.012251899044351875
DNA,531,2165,20,10620,0.20386064030131826
Worst-Case,531,4000,616,327096,0.012228825788147822
DNA,532,2168,20,10640,0.2037593984962406
Worst-Case,532,4000,616,327712,0.012205839273508446
DNA,533,2171,20,10660,0.20365853658536584
Worst-Case,533,4000,616,328328,0.012182939012207305
DNA,534,2174,20,10680,0.20355805243445693
Worst-Case,534,4000,616,328944,0.012160124519675082
DNA,535,2177,20,10700,0.20345794392523364
Worst-Case,535,4000,616,329560,0.012137395314965408
DNA,536,2180,20,10720,0.20335820895522388
Worst-Case,536,4000,616,330176,0.01211475092072107
DNA,537,2183,20,10740,0.20325884543761638
Worst-Case,537,4000,616,330792,0.012092190863140584
DNA,538,2186,20,10760,0.20315985130111525
Worst-Case,538,4000,616,331408,0.012069714671945155
DNA,539,2189,20,10780,0.2030612244897959
Worst-Case,539,4000,616,332024,0.012047321880345999
DNA,540,2192,20,10800,0.20296296296296296
Worst-Case,540,4000,616,332640,0.012025012025012025
DNA,541,2195,20,10820,0.20286506469500923
Worst-Case,541,4000,616,333256,0.01200278464603788
DNA,542,2198,20,10840,0.20276752767527675
Worst-Case,542,4000,616,333872,0.01198063928691235
DNA,543,2201,20,10860,0.20267034990791896
Worst-Case,543,4000,616,334488,0.011958575494487096
DNA,544,2204,20,10880,0.2025735294117647
Worst-Case,544,4000,616,335104,0.01193659281894576
DNA,545,2207,20,10900,0.2024770642201835
Worst-Case,545,4000,616,335720,0.011914690813773382
DNA,546,2210,20,10920,0.20238095238095238
Worst-Case,546,4000,616,336336,0.01189286903572618
DNA,547,2213,20,10940,0.20228519195612432
Worst-Case,547,4000,616,336952,0.011871127044801633
DNA,548,2216,20,10960,0.2021897810218978
Worst-Case,548,4000,616,337568,0.011849464404208929
DNA,549,2219,20,10980,0.20209471766848816
Worst-Case,549,4000,616,338184,0.011827880680339697
DNA,550,2222,20,11000,0.202
Worst-Case,550,4000,616,338800,0.011806375442739079
DNA,551,2225,20,11020,0.20190562613430127
Worst-Case,551,4000,616,339416,0.011784948264077121
DNA,552,2228,20,11040,0.20181159420289854
Worst-Case,552,4000,616,340032,0.01176359872012046
DNA,553,2231,20,11060,0.20171790235081374
Worst-Case,553,4000,616,340648,0.011742326389704329
DNA,554,2234,20,11080,0.2016245487364621
Worst-Case,554,4000,616,341264,0.011721130854704862
DNA,555,2237,20,11100,0.20153153153153153
Worst-Case,555,4000,616,341880,0.0117000117000117
DNA,556,2240,20,11120,0.2014388489208633
Worst-Case,556,4000,616,342496,0.011678968513500887
DNA,557,2243,20,11140,0.20134649910233393
Worst-Case,557,4000,616,343112,0.011658000886008067
DNA,558,2246,20,11160,0.20125448028673834
Worst-Case,558,4000,616,343728,0.01163710841130196
DNA,559,2249,20,11180,0.20116279069767443
Worst-Case,559,4000,616,344344,0.011616290686058128
DNA,560,2252,20,11200,0.20107142857142857
Worst-Case,560,4000,616,344960,0.011595547309833023
DNA,561,2255,20,11220,0.20098039215686275
Worst-Case,561,4000,616,345576,0.011574877885038313
DNA,562,2258,20,11240,0.2008896797153025
Worst-Case,562,4000,616,346192,0.011554282016915468
DNA,563,2261,20,11260,0.20079928952042628
Worst-Case,563,4000,616,346808,0.011533759313510646
DNA,564,2264,20,11280,0.20070921985815604
Worst-Case,564,4000,616,347424,0.011513309385649812
DNA,565,2267,20,11300,0.20061946902654867
Worst-Case,565,4000,616,348040,0.011492931846914148
DNA,566,2270,20,11320,0.20053003533568906
Worst-Case,566,4000,616,348656,0.011472626313615713
DNA,567,2273,20,11340,0.20044091710758377
Worst-Case,567,4000,616,349272,0.011452392404773358
DNA,568,2276,20,11360,0.20035211267605635
Worst-Case,568,4000,616,349888,0.011432229742088898
DNA,569,2279,20,11380,0.20026362038664322
Worst-Case,569,4000,616,350504,0.011412137949923538
DNA,570,2282,20,11400,0.20017543859649123
Worst-Case,570,4000,616,351120,0.01139211665527455
DNA,571,2285,20,11420,0.2000875656742557
Worst-Case,571,4000,616,351736,0.011372165487752177
DNA,572,2288,20,11440,0.2
Worst-Case,572,4000,616,352352,0.011352284079556806
DNA,573,2291,20,11460,0.19991273996509598
Worst-Case,573,4000,616,352968,0.011332472065456359
DNA,574,2294,20,11480,0.19982578397212544
Worst-Case,574,4000,616,353584,0.011312729082763926
DNA,575,2297,20,11500,0.1997391304347826
Worst-Case,575,4000,616,354200,0.01129305477131564
DNA,576,2300,20,11520,0.1996527777777778
Worst-Case,576,4000,616,354816,0.011273448773448774
DNA,577,2303,20,11540,0.19956672443674175
Worst-Case,577,4000,616,355432,0.011253910733980058
DNA,578,2306,20,11560,0.1994809688581315
Worst-Case,578,4000,616,356048,0.011234440300184246
DNA,579,2309,20,11580,0.19939550949913645
Worst-Case,579,4000,616,356664,0.011215037121772874
DNA,580,2312,20,11600,0.1993103448275862
Worst-Case,580,4000,616,357280,0.011195700850873265
DNA,581,2315,20,11620,0.19922547332185886
Worst-Case,581,4000,616,357896,0.011176431142007734
DNA,582,2318,20,11640,0.19914089347079036
Worst-Case,582,4000,616,358512,0.011157227652073012
DNA,583,2321,20,11660,0.19905660377358492
Worst-Case,583,4000,616,359128,0.011138090040319886
DNA,584,2324,20,11680,0.19897260273972603
Worst-Case,584,4000,616,359744,0.011119017968333037
DNA,585,2327,20,11700,0.1988888888888889
Worst-Case,585,4000,616,360360,0.0111000111000111
DNA,586,2330,20,11720,0.19880546075085323
Worst-Case,586,4000,616,360976,0.011081069101546917
DNA,587,2333,20,11740,0.1987223168654174
Worst-Case,587,4000,616,361592,0.011062191641407995
DNA,588,2336,20,11760,0.19863945578231293
Worst-Case,588,4000,616,362208,0.011043378390317165
DNA,589,2339,20,11780,0.19855687606112055
Worst-Case,589,4000,616,362824,0.011024629021233436
DNA,590,2342,20,11800,0.19847457627118645
Worst-Case,590,4000,616,363440,0.01100594320933304
DNA,591,2345,20,11820,0.19839255499153977
Worst-Case,591,4000,616,364056,0.010987320631990682
DNA,592,2348,20,11840,0.1983108108108108
Worst-Case,592,4000,616,364672,0.010968760968760968
DNA,593,2351,20,11860,0.1982293423271501
Worst-Case,593,4000,616,365288,0.010950263901360023
DNA,594,2354,20,11880,0.19814814814814816
Worst-Case,594,4000,616,365904,0.010931829113647295
DNA,595,2357,20,11900,0.19806722689075631
Worst-Case,595,4000,616,366520,0.010913456291607553
DNA,596,2360,20,11920,0.19798657718120805
Worst-Case,596,4000,616,367136,0.010895145123333044
DNA,597,2363,20,11940,0.19790619765494138
Worst-Case,597,4000,616,367752,0.010876895299005852
DNA,598,2366,20,11960,0.19782608695652174
Worst-Case,598,4000,616,368368,0.010858706510880424
DNA,599,2369,20,11980,0.19774624373956595
Worst-Case,599,4000,616,368984,0.010840578453266267
DNA,600,2372,20,12000,0.19766666666666666
Worst-Case,600,4000,616,369600,0.010822510822510822
DNA,601,2375,20,12020,0.1975873544093178
Worst-Case,601,4000,616,370216,0.010804503316982518
DNA,602,2378,20,12040,0.19750830564784053
Worst-Case,602,4000,616,370832,0.010786555637053975
DNA,603,2381,20,12060,0.19742951907131012
Worst-Case,603,4000,616,371448,0.010768667485085396
DNA,604,2384,20,12080,0.19735099337748344
Worst-Case,604,4000,616,372064,0.010750838565408103
DNA,605,2387,20,12100,0.19727272727272727
Worst-Case,605,4000,616,372680,0.010733068584308253
DNA,606,2390,20,12120,0.1971947194719472
Worst-Case,606,4000,616,373296,0.010715357250010715
DNA,607,2393,20,12140,0.1971169686985173
Worst-Case,607,4000,616,373912,0.010697704272663087
DNA,608,2396,20,12160,0.19703947368421051
Worst-Case,608,4000,616,374528,0.01068010936431989
DNA,609,2399,20,12180,0.19696223316912972
Worst-Case,609,4000,616,375144,0.010662572238926919
DNA,610,2402,20,12200,0.19688524590163933
Worst-Case,610,4000,616,375760,0.010645092612305727
DNA,611,2405,20,12220,0.19680851063829788
Worst-Case,611,4000,616,376376,0.010627670202138288
DNA,612,2408,20,12240,0.19673202614379084
Worst-Case,612,4000,616,376992,0.010610304727951787
DNA,613,2411,20,12260,0.1966557911908646
Worst-Case,613,4000,616,377608,0.010592995911103579
DNA,614,2414,20,12280,0.19657980456026058
Worst-Case,614,4000,616,378224,0.010575743474766277
DNA,615,2417,20,12300,0.1965040650406504
Worst-Case,615,4000,616,378840,0.010558547143912998
DNA,616,2420,20,12320,0.19642857142857142
Worst-Case,616,4000,616,379456,0.010541406645302748
DNA,617,2423,20,12340,0.19635332252836304
Worst-Case,617,4000,616,380072,0.010524321707465954
DNA,618,2426,20,12360,0.19627831715210356
Worst-Case,618,4000,616,380688,0.01050729206069012
DNA,619,2429,20,12380,0.19620355411954765
Worst-Case,619,4000,616,381304,0.010490317437005644
DNA,620,2432,20,12400,0.19612903225806452
Worst-Case,620,4000,616,381920,0.010473397570171765
DNA,621,2435,20,12420,0.1960547504025765
Worst-Case,621,4000,616,382536,0.010456532195662631
DNA,622,2438,20,12440,0.1959807073954984
Worst-Case,622,4000,616,383152,0.010439721050653527
DNA,623,2441,20,12460,0.19590690208667738
Worst-Case,623,4000,616,383768,0.010422963874007212
DNA,624,2444,20,12480,0.19583333333333333
Worst-Case,624,4000,616,384384,0.010406260406260406
DNA,625,2447,20,12500,0.19576
Worst-Case,625,4000,616,385000,0.01038961038961039
DNA,626,2450,20,12520,0.19568690095846644
Worst-Case,626,4000,616,385616,0.010373013567901747
DNA,627,2453,20,12540,0.1956140350877193
Worst-Case,627,4000,616,386232,0.010356469686613226
DNA,628,2456,20,12560,0.19554140127388536
Worst-Case,628,4000,616,386848,0.010339978492844735
DNA,629,2459,20,12580,0.19546899841017487
Worst-Case,629,4000,616,387464,0.010323539735304442
DNA,630,2462,20,12600,0.1953968253968254
Worst-Case,630,4000,616,388080,0.01030715316429602
DNA,631,2465,20,12620,0.19532488114104596
Worst-Case,631,4000,616,388696,0.010290818531706013
DNA,632,2468,20,12640,0.19525316455696204
Worst-Case,632,4000,616,389312,0.010274535590991287
DNA,633,2471,20,12660,0.19518167456556082
Worst-Case,633,4000,616,389928,0.010258304097166656
DNA,634,2474,20,12680,0.19511041009463723
Worst-Case,634,4000,616,390544,0.010242123806792576
DNA,635,2477,20,12700,0.19503937007874017
Worst-Case,635,4000,616,391160,0.010225994477962982
DNA,636,2480,20,12720,0.1949685534591195
Worst-Case,636,4000,616,391776,0.010209915870293228
DNA,637,2483,20,12740,0.19489795918367347
Worst-Case,637,4000,616,392392,0.010193887744908153
DNA,638,2486,20,12760,0.19482758620689655
Worst-Case,638,4000,616,393008,0.01017790986443024
DNA,639,2489,20,12780,0.19475743348982785
Worst-Case,639,4000,616,393624,0.010161981992967908
DNA,640,2492,20,12800,0.1946875
Worst-Case,640,4000,616,394240,0.010146103896103896
DNA,641,2494,20,12820,0.19453978159126364
Worst-Case,641,4000,616,394856,0.010130275340883765
DNA,642,2496,20,12840,0.19439252336448598
Worst-Case,642,4000,616,395472,0.010114496095804507
DNA,643,2498,20,12860,0.1942457231726283
Worst-Case,643,4000,616,396088,0.010098765930803257
DNA,644,2500,20,12880,0.19409937888198758
Worst-Case,644,4000,616,396704,0.010083084617246107
DNA,645,2502,20,12900,0.19395348837209303
Worst-Case,645,4000,616,397320,0.010067451927917043
DNA,646,2504,20,12920,0.1938080495356037
Worst-Case,646,4000,616,397936,0.010051867637006957
DNA,647,2506,20,12940,0.19366306027820712
Worst-Case,647,4000,616,398552,0.010036331520102772
DNA,648,2508,20,12960,0.1935185185185185
Worst-Case,648,4000,616,399168,0.010020843354176688
DNA,649,2510,20,12980,0.1933744221879815
Worst-Case,649,4000,616,399784,0.010005402917575491
DNA,650,2512,20,13000,0.19323076923076923
Worst-Case,650,4000,616,400400,0.00999000999000999
DNA,651,2514,20,13020,0.19308755760368665
Worst-Case,651,4000,616,401016,0.009974664352544536
DNA,652,2516,20,13040,0.19294478527607362
Worst-Case,652,4000,616,401632,0.009959365787586646
DNA,653,2518,20,13060,0.19280245022970904
Worst-Case,653,4000,616,402248,0.009944114078876713
DNA,654,2520,20,13080,0.1926605504587156
Worst-Case,654,4000,616,402864,0.009928909011477818
DNA,655,2522,20,13100,0.19251908396946565
Worst-Case,655,4000,616,403480,0.00991375037176564
DNA,656,2524,20,13120,0.1923780487804878
Worst-Case,656,4000,616,404096,0.009898637947418435
DNA,657,2526,20,13140,0.19223744292237444
Worst-Case,657,4000,616,404712,0.009883571527407143
DNA,658,2528,20,13160,0.19209726443768996
Worst-Case,658,4000,616,405328,0.009868550901985552
DNA,659,2530,20,13180,0.19195751138088013
Worst-Case,659,4000,616,405944,0.009853575862680567
DNA,660,2532,20,13200,0.1918181818181818
Worst-Case,660,4000,616,406560,0.009838646202282565
DNA,661,2534,20,13220,0.19167927382753405
Worst-Case,661,4000,616,407176,0.009823761714835845
DNA,662,2536,20,13240,0.19154078549848944
Worst-Case,662,4000,616,407792,0.009808922195629144
DNA,663,2538,20,13260,0.19140271493212668
Worst-Case,663,4000,616,408408,0.009794127441186264
DNA,664,2540,20,13280,0.19126506024096385
Worst-Case,664,4000,616,409024,0.009779377249256767
DNA,665,2542,20,13300,0.19112781954887217
Worst-Case,665,4000,616,409640,0.009764671418806757
DNA,666,2544,20,13320,0.19099099099099098
Worst-Case,666,4000,616,410256,0.00975000975000975
DNA,667,2546,20,13340,0.19085457271364317
Worst-Case,667,4000,616,410872,0.009735392044237621
DNA,668,2548,20,13360,0.19071856287425148
Worst-Case,668,4000,616,411488,0.009720818104051636
DNA,669,2550,20,13380,0.1905829596412556
Worst-Case,669,4000,616,412104,0.009706287733193562
DNA,670,2552,20,13400,0.19044776119402984
Worst-Case,670,4000,616,412720,0.009691800736576855
DNA,671,2554,20,13420,0.1903129657228018
Worst-Case,671,4000,616,413336,0.009677356920277934
DNA,672,2556,20,13440,0.19017857142857142
Worst-Case,672,4000,616,413952,0.00966295609152752
DNA,673,2558,20,13460,0.1900445765230312
Worst-Case,673,4000,616,414568,0.00964859805870207
DNA,674,2560,20,13480,0.18991097922848665
Worst-Case,674,4000,616,415184,0.009634282631315272
DNA,675,2562,20,13500,0.18977777777777777
Worst-Case,675,4000,616,415800,0.00962000962000962
DNA,676,2564,20,13520,0.1896449704142012
Worst-Case,676,4000,616,416416,0.009605778836548068
DNA,677,2566,20,13540,0.1895125553914328
Worst-Case,677,4000,616,417032,0.009591590093805752
DNA,678,2568,20,13560,0.18938053097345134
Worst-Case,678,4000,616,417648,0.00957744320576179
DNA,679,2570,20,13580,0.18924889543446244
Worst-Case,679,4000,616,418264,0.009563337987491155
DNA,680,2572,20,13600,0.18911764705882353
Worst-Case,680,4000,616,418880,0.009549274255156608
DNA,681,2574,20,13620,0.18898678414096917
Worst-Case,681,4000,616,419496,0.009535251826000724
DNA,682,2576,20,13640,0.18885630498533723
Worst-Case,682,4000,616,420112,0.009521270518337966
DNA,683,2578,20,13660,0.18872620790629577
Worst-Case,683,4000,616,420728,0.009507330151546842
DNA,684,2580,20,13680,0.18859649122807018
Worst-Case,684,4000,616,421344,0.009493430546062125
DNA,685,2582,20,13700,0.18846715328467153
Worst-Case,685,4000,616,421960,0.009479571523367144
DNA,686,2584,20,13720,0.18833819241982508
Worst-Case,686,4000,616,422576,0.009465752905986143
DNA,687,2586,20,13740,0.18820960698689956
Worst-Case,687,4000,616,423192,0.0094519745174767
DNA,688,2588,20,13760,0.18808139534883722
Worst-Case,688,4000,616,423808,0.00943823618242223
DNA,689,2590,20,13780,0.18795355587808418
Worst-Case,689,4000,616,424424,0.00942453772642452
DNA,690,2592,20,13800,0.18782608695652173
Worst-Case,690,4000,616,425040,0.009410878976096368
DNA,691,2594,20,13820,0.18769898697539797
Worst-Case,691,4000,616,425656,0.00939725975905426
DNA,692,2596,20,13840,0.18757225433526012
Worst-Case,692,4000,616,426272,0.009383679903911119
DNA,693,2598,20,13860,0.18744588744588744
Worst-Case,693,4000,616,426888,0.00937013924026911
DNA,694,2600,20,13880,0.1873198847262248
Worst-Case,694,4000,616,427504,0.009356637598712527
DNA,695,2602,20,13900,0.18719424460431655
Worst-Case,695,4000,616,428120,0.00934317481080071
DNA,696,2604,20,13920,0.1870689655172414
Worst-Case,696,4000,616,428736,0.009329750709061054
DNA,697,2606,20,13940,0.18694404591104735
Worst-Case,697,4000,616,429352,0.009316365126982057
DNA,698,2608,20,13960,0.18681948424068767
Worst-Case,698,4000,616,429968,0.009303017899006437
DNA,699,2610,20,13980,0.18669527896995708
Worst-Case,699,4000,616,430584,0.00928970886052431
DNA,700,2612,20,14000,0.18657142857142858
Worst-Case,700,4000,616,431200,0.00927643784786642
DNA,701,2614,20,14020,0.18644793152639086
Worst-Case,701,4000,616,431816,0.009263204698297422
DNA,702,2616,20,14040,0.18632478632478633
Worst-Case,702,4000,616,432432,0.00925000925000925
DNA,703,2618,20,14060,0.18620199146514935
Worst-Case,703,4000,616,433048,0.0092368513421145
DNA,704,2620,20,14080,0.18607954545454544
Worst-Case,704,4000,616,433664,0.009223730814639905
DNA,705,2622,20,14100,0.18595744680851065
Worst-Case,705,4000,616,434280,0.009210647508519848
DNA,706,2624,20,14120,0.1858356940509915
Worst-Case,706,4000,616,434896,0.009197601265589933
DNA,707,2626,20,14140,0.18571428571428572
Worst-Case,707,4000,616,435512,0.009184591928580612
DNA,708,2628,20,14160,0.18559322033898304
Worst-Case,708,4000,616,436128,0.009171619341110866
DNA,709,2630,20,14180,0.1854724964739069
Worst-Case,709,4000,616,436744,0.009158683347681938
DNA,710,2632,20,14200,0.18535211267605634
Worst-Case,710,4000,616,437360,0.009145783793671118
DNA,711,2634,20,14220,0.18523206751054852
Worst-Case,711,4000,616,437976,0.009132920525325588
DNA,712,2636,20,14240,0.1851123595505618
Worst-Case,712,4000,616,438592,0.009120093389756312
DNA,713,2638,20,14260,0.1849929873772791
Worst-Case,713,4000,616,439208,0.009107302234931969
DNA,714,2640,20,14280,0.18487394957983194
Worst-Case,714,4000,616,439824,0.00909454690967296
DNA,715,2642,20,14300,0.18475524475524477
Worst-Case,715,4000,616,440440,0.009081827263645445
DNA,716,2644,20,14320,0.1846368715083799
Worst-Case,716,4000,616,441056,0.009069143147355439
DNA,717,2646,20,14340,0.18451882845188283
Worst-Case,717,4000,616,441672,0.009056494412142948
DNA,718,2648,20,14360,0.18440111420612815
Worst-Case,718,4000,616,442288,0.009043880910176175
DNA,719,2650,20,14380,0.18428372739916551
Worst-Case,719,4000,616,442904,0.00903130249444575
DNA,720,2652,20,14400,0.18416666666666667
Worst-Case,720,4000,616,443520,0.009018759018759018
DNA,721,2654,20,14420,0.1840499306518724
Worst-Case,721,4000,616,444136,0.009006250337734388
DNA,722,2656,20,14440,0.18393351800554017
Worst-Case,722,4000,616,444752,0.008993776306795697
DNA,723,2658,20,14460,0.18381742738589213
Worst-Case,723,4000,616,445368,0.008981336782166657
DNA,724,2660,20,14480,0.18370165745856354
Worst-Case,724,4000,616,445984,0.008968931620865322
DNA,725,2662,20,14500,0.18358620689655172
Worst-Case,725,4000,616,446600,0.008956560680698611
DNA,726,2664,20,14520,0.1834710743801653
Worst-Case,726,4000,616,447216,0.008944223820256877
DNA,727,2666,20,14540,0.18335625859697385
Worst-Case,727,4000,616,447832,0.00893192089890852
DNA,728,2668,20,14560,0.18324175824175823
Worst-Case,728,4000,616,448448,0.008919651776794634
DNA,729,2670,20,14580,0.1831275720164609
Worst-Case,729,4000,616,449064,0.008907416314823722
DNA,730,2672,20,14600,0.18301369863013697
Worst-Case,730,4000,616,449680,0.00889521437466643
DNA,731,2674,20,14620,0.1829001367989056
Worst-Case,731,4000,616,450296,0.008883045818750332
DNA,732,2676,20,14640,0.18278688524590164
Worst-Case,732,4000,616,450912,0.008870910510254773
DNA,733,2678,20,14660,0.18267394270122783
Worst-Case,733,4000,616,451528,0.008858808313105721
DNA,734,2680,20,14680,0.18256130790190736
Worst-Case,734,4000,616,452144,0.0088467390919707
DNA,735,2682,20,14700,0.18244897959183673
Worst-Case,735,4000,616,452760,0.008834702712253733
DNA,736,2684,20,14720,0.18233695652173912
Worst-Case,736,4000,616,453376,0.008822699040090344
DNA,737,2686,20,14740,0.18222523744911803
Worst-Case,737,4000,616,453992,0.008810727942342597
DNA,738,2688,20,14760,0.1821138211382114
Worst-Case,738,4000,616,454608,0.008798789286594165
DNA,739,2690,20,14780,0.18200270635994586
Worst-Case,739,4000,616,455224,0.008786882941145458
DNA,740,2692,20,14800,0.1818918918918919
Worst-Case,740,4000,616,455840,0.008775008775008775
DNA,741,2694,20,14820,0.18178137651821863
Worst-Case,741,4000,616,456456,0.0087631666579035
DNA,742,2696,20,14840,0.1816711590296496
Worst-Case,742,4000,616,457072,0.008751356460251339
DNA,743,2698,20,14860,0.18156123822341858
Worst-Case,743,4000,616,457688,0.008739578053171593
DNA,744,2700,20,14880,0.1814516129032258
Worst-Case,744,4000,616,458304,0.00872783130847647
DNA,745,2702,20,14900,0.18134228187919463
Worst-Case,745,4000,616,458920,0.008716116098666434
DNA,746,2704,20,14920,0.18123324396782842
Worst-Case,746,4000,616,459536,0.008704432296925595
DNA,747,2706,20,14940,0.18112449799196786
Worst-Case,747,4000,616,460152,0.008692779777117127
DNA,748,2708,20,14960,0.18101604278074868
Worst-Case,748,4000,616,460768,0.008681158413778735
DNA,749,2710,20,14980,0.18090787716955942
Worst-Case,749,4000,616,461384,0.008669568082118148
DNA,750,2712,20,15000,0.1808
Worst-Case,750,4000,616,462000,0.008658008658008658
DNA,751,2714,20,15020,0.18069241011984022
Worst-Case,751,4000,616,462616,0.008646480017984678
DNA,752,2716,20,15040,0.18058510638297873
Worst-Case,752,4000,616,463232,0.008634982039237358
DNA,753,2718,20,15060,0.1804780876494024
Worst-Case,753,4000,616,463848,0.008623514599610218
DNA,754,2720,20,15080,0.18037135278514588
Worst-Case,754,4000,616,464464,0.008612077577594818
DNA,755,2722,20,15100,0.18026490066225165
Worst-Case,755,4000,616,465080,0.008600670852326481
DNA,756,2724,20,15120,0.18015873015873016
Worst-Case,756,4000,616,465696,0.008589294303580018
DNA,757,2726,20,15140,0.18005284015852047
Worst-Case,757,4000,616,466312,0.008577947811765513
DNA,758,2728,20,15160,0.17994722955145118
Worst-Case,758,4000,616,466928,0.008566631257924133
DNA,759,2730,20,15180,0.17984189723320157
Worst-Case,759,4000,616,467544,0.00855534452372397
DNA,760,2732,20,15200,0.17973684210526317
Worst-Case,760,4000,616,468160,0.008544087491455913
DNA,761,2734,20,15220,0.17963206307490145
Worst-Case,761,4000,616,468776,0.008532860044029558
DNA,762,2736,20,15240,0.1795275590551181
Worst-Case,762,4000,616,469392,0.008521662064969151
DNA,763,2738,20,15260,0.17942332896461335
Worst-Case,763,4000,616,470008,0.00851049343840956
DNA,764,2740,20,15280,0.1793193717277487
Worst-Case,764,4000,616,470624,0.008499354049092269
DNA,765,2742,20,15300,0.17921568627450982
Worst-Case,765,4000,616,471240,0.008488243782361429
DNA,766,2744,20,15320,0.17911227154046996
Worst-Case,766,4000,616,471856,0.008477162524159913
DNA,767,2746,20,15340,0.1790091264667536
Worst-Case,767,4000,616,472472,0.008466110161025416
DNA,768,2748,20,15360,0.17890625
Worst-Case,768,4000,616,473088,0.00845508658008658
DNA,769,2750,20,15380,0.1788036410923277
Worst-Case,769,4000,616,473704,0.00844409166905916
DNA,770,2752,20,15400,0.1787012987012987
Worst-Case,770,4000,616,474320,0.008433125316242199
DNA,771,2754,20,15420,0.17859922178988327
Worst-Case,771,4000,616,474936,0.008422187410514259
DNA,772,2756,20,15440,0.17849740932642488
Worst-Case,772,4000,616,475552,0.008411277841329655
DNA,773,2758,20,15460,0.17839586028460544
Worst-Case,773,4000,616,476168,0.008400396498714739
DNA,774,2760,20,15480,0.17829457364341086
Worst-Case,774,4000,616,476784,0.008389543273264204
DNA,775,2762,20,15500,0.17819354838709678
Worst-Case,775,4000,616,477400,0.008378718056137411
DNA,776,2764,20,15520,0.17809278350515464
Worst-Case,776,4000,616,478016,0.00836792073905476
DNA,777,2766,20,15540,0.177992277992278
Worst-Case,777,4000,616,478632,0.008357151214294072
DNA,778,2768,20,15560,0.17789203084832905
Worst-Case,778,4000,616,479248,0.00834640937468701
DNA,779,2770,20,15580,0.1777920410783055
Worst-Case,779,4000,616,479864,0.008335695113615524
DNA,780,2772,20,15600,0.1776923076923077
Worst-Case,780,4000,616,480480,0.008325008325008326
DNA,781,2774,20,15620,0.17759282970550577
Worst-Case,781,4000,616,481096,0.00831434890333738
DNA,782,2776,20,15640,0.1774936061381074
Worst-Case,782,4000,616,481712,0.008303716743614442
DNA,783,2778,20,15660,0.17739463601532568
Worst-Case,783,4000,616,482328,0.008293111741387603
DNA,784,2780,20,15680,0.17729591836734693
Worst-Case,784,4000,616,482944,0.008282533792737874
DNA,785,2782,20,15700,0.17719745222929936
Worst-Case,785,4000,616,483560,0.008271982794275788
DNA,786,2784,20,15720,0.17709923664122137
Worst-Case,786,4000,616,484176,0.008261458643138032
DNA,787,2786,20,15740,0.1770012706480305
Worst-Case,787,4000,616,484792,0.008250961236984109
DNA,788,2788,20,15760,0.1769035532994924
