String_Type,L_value,Irreducible_Count,LZ77_z,Theoretical_Max_Bound
DNA,347,0,16,1052.7152913275604
Worst-Case,347,0,327,21514.868766507014
DNA,348,0,16,1052.7152913275604
Worst-Case,348,0,327,21514.868766507014
DNA,349,0,16,1052.7152913275604
Worst-Case,349,0,327,21514.868766507014
DNA,350,0,16,1052.7152913275604
Worst-Case,350,0,327,21514.868766507014
DNA,351,0,16,1052.7152913275604
Worst-Case,351,0,327,21514.868766507014
DNA,352,0,16,1052.7152913275604
Worst-Case,352,0,327,21514.868766507014
DNA,353,0,16,1052.7152913275604
Worst-Case,353,0,327,21514.868766507014
DNA,354,0,16,1052.7152913275604
Worst-Case,354,0,327,21514.868766507014
DNA,355,0,16,1052.7152913275604
Worst-Case,355,0,327,21514.868766507014
DNA,356,0,16,1052.7152913275604
Worst-Case,356,0,327,21514.868766507014
DNA,357,0,16,1052.7152913275604
Worst-Case,357,0,327,21514.868766507014
DNA,358,0,16,1052.7152913275604
Worst-Case,358,0,327,21514.868766507014
DNA,359,0,16,1052.7152913275604
Worst-Case,359,0,327,21514.868766507014
DNA,360,0,16,1052.7152913275604
Worst-Case,360,0,327,21514.868766507014
DNA,361,0,16,1052.7152913275604
Worst-Case,361,0,327,21514.868766507014
DNA,362,0,16,1052.7152913275604
Worst-Case,362,0,327,21514.868766507014
DNA,363,0,16,1052.7152913275604
Worst-Case,363,0,327,21514.868766507014
DNA,364,0,16,1052.7152913275604
Worst-Case,364,0,327,21514.868766507014
DNA,365,0,16,1052.7152913275604
Worst-Case,365,0,327,21514.868766507014
DNA,366,0,16,1052.7152913275604
Worst-Case,366,0,327,21514.868766507014
DNA,367,0,16,1052.7152913275604
Worst-Case,367,0,327,21514.868766507014
DNA,368,0,16,1052.7152913275604
Worst-Case,368,0,327,21514.868766507014
DNA,369,0,16,1052.7152913275604
Worst-Case,369,0,327,21514.868766507014
DNA,370,0,16,1052.7152913275604
Worst-Case,370,0,327,21514.868766507014
DNA,371,0,16,1052.7152913275604
Worst-Case,371,0,327,21514.868766507014
DNA,372,0,16,1052.7152913275604
Worst-Case,372,0,327,21514.868766507014
DNA,373,0,16,1052.7152913275604
Worst-Case,373,0,327,21514.868766507014
DNA,374,0,16,1052.7152913275604
Worst-Case,374,0,327,21514.868766507014
DNA,375,0,16,1052.7152913275604
Worst-Case,375,0,327,21514.868766507014
DNA,376,0,16,1052.7152913275604
Worst-Case,376,0,327,21514.868766507014
DNA,377,0,16,1052.7152913275604
Worst-Case,377,0,327,21514.868766507014
DNA,378,0,16,1052.7152913275604
Worst-Case,378,0,327,21514.868766507014
DNA,379,0,16,1052.7152913275604
Worst-Case,379,0,327,21514.868766507014
DNA,380,0,16,1052.7152913275604
Worst-Case,380,0,327,21514.868766507014
DNA,381,0,16,1052.7152913275604
Worst-Case,381,0,327,21514.868766507014
DNA,382,0,16,1052.7152913275604
Worst-Case,382,0,327,21514.868766507014
DNA,383,0,16,1052.7152913275604
Worst-Case,383,0,327,21514.868766507014
DNA,384,0,16,1052.7152913275604
Worst-Case,384,0,327,21514.868766507014
DNA,385,0,16,1052.7152913275604
Worst-Case,385,0,327,21514.868766507014
DNA,386,0,16,1052.7152913275604
Worst-Case,386,0,327,21514.868766507014
DNA,387,0,16,1052.7152913275604
Worst-Case,387,0,327,21514.868766507014
DNA,388,0,16,1052.7152913275604
Worst-Case,388,0,327,21514.868766507014
DNA,389,0,16,1052.7152913275604
Worst-Case,389,0,327,21514.868766507014
DNA,390,0,16,1052.7152913275604
Worst-Case,390,0,327,21514.868766507014
DNA,391,0,16,1052.7152913275604
Worst-Case,391,0,327,21514.868766507014
DNA,392,0,16,1052.7152913275604
Worst-Case,392,0,327,21514.868766507014
DNA,393,0,16,1052.7152913275604
Worst-Case,393,0,327,21514.868766507014
DNA,394,0,16,1052.7152913275604
Worst-Case,394,0,327,21514.868766507014
DNA,395,0,16,1052.7152913275604
Worst-Case,395,0,327,21514.868766507014
DNA,396,0,16,1052.7152913275604
Worst-Case,396,0,327,21514.868766507014
DNA,397,0,16,1052.7152913275604
Worst-Case,397,0,327,21514.868766507014
DNA,398,0,16,1052.7152913275604
Worst-Case,398,0,327,21514.868766507014
DNA,399,0,16,1052.7152913275604
Worst-Case,399,0,327,21514.868766507014
DNA,400,0,16,1052.7152913275604
Worst-Case,400,0,327,21514.868766507014
DNA,401,0,16,1052.7152913275604
Worst-Case,401,0,327,21514.868766507014
DNA,402,0,16,1052.7152913275604
Worst-Case,402,0,327,21514.868766507014
DNA,403,0,16,1052.7152913275604
Worst-Case,403,0,327,21514.868766507014
DNA,404,0,16,1052.7152913275604
Worst-Case,404,0,327,21514.868766507014
DNA,405,0,16,1052.7152913275604
Worst-Case,405,0,327,21514.868766507014
DNA,406,0,16,1052.7152913275604
Worst-Case,406,0,327,21514.868766507014
DNA,407,0,16,1052.7152913275604
Worst-Case,407,0,327,21514.868766507014
DNA,408,0,16,1052.7152913275604
Worst-Case,408,0,327,21514.868766507014
DNA,409,0,16,1052.7152913275604
Worst-Case,409,0,327,21514.868766507014
DNA,410,0,16,1052.7152913275604
Worst-Case,410,0,327,21514.868766507014
DNA,411,0,16,1052.7152913275604
Worst-Case,411,0,327,21514.868766507014
DNA,412,0,16,1052.7152913275604
Worst-Case,412,0,327,21514.868766507014
DNA,413,0,16,1052.7152913275604
Worst-Case,413,0,327,21514.868766507014
DNA,414,0,16,1052.7152913275604
Worst-Case,414,0,327,21514.868766507014
DNA,415,0,16,1052.7152913275604
Worst-Case,415,0,327,21514.868766507014
DNA,416,0,16,1052.7152913275604
Worst-Case,416,0,327,21514.868766507014
DNA,417,0,16,1052.7152913275604
Worst-Case,417,0,327,21514.868766507014
DNA,418,0,16,1052.7152913275604
Worst-Case,418,0,327,21514.868766507014
DNA,419,0,16,1052.7152913275604
Worst-Case,419,0,327,21514.868766507014
DNA,420,0,16,1052.7152913275604
Worst-Case,420,0,327,21514.868766507014
DNA,421,0,16,1052.7152913275604
Worst-Case,421,0,327,21514.868766507014
DNA,422,0,16,1052.7152913275604
Worst-Case,422,0,327,21514.868766507014
DNA,423,0,16,1052.7152913275604
Worst-Case,423,0,327,21514.868766507014
DNA,424,0,16,1052.7152913275604
Worst-Case,424,0,327,21514.868766507014
DNA,425,0,16,1052.7152913275604
Worst-Case,425,0,327,21514.868766507014
DNA,426,0,16,1052.7152913275604
Worst-Case,426,0,327,21514.868766507014
DNA,427,0,16,1052.7152913275604
Worst-Case,427,0,327,21514.868766507014
DNA,428,0,16,1052.7152913275604
Worst-Case,428,0,327,21514.868766507014
DNA,429,0,16,1052.7152913275604
Worst-Case,429,0,327,21514.868766507014
DNA,430,0,16,1052.7152913275604
Worst-Case,430,0,327,21514.868766507014
DNA,431,0,16,1052.7152913275604
Worst-Case,431,0,327,21514.868766507014
DNA,432,0,16,1052.7152913275604
Worst-Case,432,0,327,21514.868766507014
DNA,433,0,16,1052.7152913275604
Worst-Case,433,0,327,21514.868766507014
DNA,434,0,16,1052.7152913275604
Worst-Case,434,0,327,21514.868766507014
DNA,435,0,16,1052.7152913275604
Worst-Case,435,0,327,21514.868766507014
DNA,436,0,16,1052.7152913275604
Worst-Case,436,0,327,21514.868766507014
DNA,437,0,16,1052.7152913275604
Worst-Case,437,0,327,21514.868766507014
DNA,438,0,16,1052.7152913275604
Worst-Case,438,0,327,21514.868766507014
DNA,439,0,16,1052.7152913275604
Worst-Case,439,0,327,21514.868766507014
DNA,440,0,16,1052.7152913275604
Worst-Case,440,0,327,21514.868766507014
DNA,441,0,16,1052.7152913275604
Worst-Case,441,0,327,21514.868766507014
DNA,442,0,16,1052.7152913275604
Worst-Case,442,0,327,21514.868766507014
DNA,443,0,16,1052.7152913275604
Worst-Case,443,0,327,21514.868766507014
DNA,444,0,16,1052.7152913275604
Worst-Case,444,0,327,21514.868766507014
DNA,445,0,16,1052.7152913275604
Worst-Case,445,0,327,21514.868766507014
DNA,446,0,16,1052.7152913275604
Worst-Case,446,0,327,21514.868766507014
DNA,447,0,16,1052.7152913275604
Worst-Case,447,0,327,21514.868766507014
DNA,448,0,16,1052.7152913275604
Worst-Case,448,0,327,21514.868766507014
DNA,449,0,16,1052.7152913275604
Worst-Case,449,0,327,21514.868766507014
DNA,450,0,16,1052.7152913275604
Worst-Case,450,0,327,21514.868766507014
DNA,451,0,16,1052.7152913275604
Worst-Case,451,0,327,21514.868766507014
DNA,452,0,16,1052.7152913275604
Worst-Case,452,0,327,21514.868766507014
DNA,453,0,16,1052.7152913275604
Worst-Case,453,0,327,21514.868766507014
DNA,454,0,16,1052.7152913275604
Worst-Case,454,0,327,21514.868766507014
DNA,455,0,16,1052.7152913275604
Worst-Case,455,0,327,21514.868766507014
DNA,456,0,16,1052.7152913275604
Worst-Case,456,0,327,21514.868766507014
DNA,457,0,16,1052.7152913275604
Worst-Case,457,0,327,21514.868766507014
DNA,458,0,16,1052.7152913275604
Worst-Case,458,0,327,21514.868766507014
DNA,459,0,16,1052.7152913275604
Worst-Case,459,0,327,21514.868766507014
DNA,460,0,16,1052.7152913275604
Worst-Case,460,0,327,21514.868766507014
DNA,461,0,16,1052.7152913275604
Worst-Case,461,0,327,21514.868766507014
DNA,462,0,16,1052.7152913275604
Worst-Case,462,0,327,21514.868766507014
DNA,463,0,16,1052.7152913275604
Worst-Case,463,0,327,21514.868766507014
DNA,464,0,16,1052.7152913275604
Worst-Case,464,0,327,21514.868766507014
DNA,465,0,16,1052.7152913275604
Worst-Case,465,0,327,21514.868766507014
DNA,466,0,16,1052.7152913275604
Worst-Case,466,0,327,21514.868766507014
DNA,467,0,16,1052.7152913275604
Worst-Case,467,0,327,21514.868766507014
DNA,468,0,16,1052.7152913275604
Worst-Case,468,0,327,21514.868766507014
DNA,469,0,16,1052.7152913275604
Worst-Case,469,0,327,21514.868766507014
DNA,470,0,16,1052.7152913275604
Worst-Case,470,0,327,21514.868766507014
DNA,471,0,16,1052.7152913275604
Worst-Case,471,0,327,21514.868766507014
DNA,472,0,16,1052.7152913275604
Worst-Case,472,0,327,21514.868766507014
DNA,473,0,16,1052.7152913275604
Worst-Case,473,0,327,21514.868766507014
DNA,474,0,16,1052.7152913275604
Worst-Case,474,0,327,21514.868766507014
DNA,475,0,16,1052.7152913275604
Worst-Case,475,0,327,21514.868766507014
DNA,476,0,16,1052.7152913275604
Worst-Case,476,0,327,21514.868766507014
DNA,477,0,16,1052.7152913275604
Worst-Case,477,0,327,21514.868766507014
DNA,478,0,16,1052.7152913275604
Worst-Case,478,0,327,21514.868766507014
DNA,479,0,16,1052.7152913275604
Worst-Case,479,0,327,21514.868766507014
DNA,480,0,16,1052.7152913275604
Worst-Case,480,0,327,21514.868766507014
DNA,481,0,16,1052.7152913275604
Worst-Case,481,0,327,21514.868766507014
DNA,482,0,16,1052.7152913275604
Worst-Case,482,0,327,21514.868766507014
DNA,483,0,16,1052.7152913275604
Worst-Case,483,0,327,21514.868766507014
DNA,484,0,16,1052.7152913275604
Worst-Case,484,0,327,21514.868766507014
DNA,485,0,16,1052.7152913275604
Worst-Case,485,0,327,21514.868766507014
DNA,486,0,16,1052.7152913275604
Worst-Case,486,0,327,21514.868766507014
DNA,487,0,16,1052.7152913275604
Worst-Case,487,0,327,21514.868766507014
DNA,488,0,16,1052.7152913275604
Worst-Case,488,0,327,21514.868766507014
DNA,489,0,16,1052.7152913275604
Worst-Case,489,0,327,21514.868766507014
DNA,490,0,16,1052.7152913275604
Worst-Case,490,0,327,21514.868766507014
DNA,491,0,16,1052.7152913275604
Worst-Case,491,0,327,21514.868766507014
DNA,492,0,16,1052.7152913275604
Worst-Case,492,0,327,21514.868766507014
DNA,493,0,16,1052.7152913275604
Worst-Case,493,0,327,21514.868766507014
DNA,494,0,16,1052.7152913275604
Worst-Case,494,0,327,21514.868766507014
DNA,495,0,16,1052.7152913275604
Worst-Case,495,0,327,21514.868766507014
DNA,496,0,16,1052.7152913275604
Worst-Case,496,0,327,21514.868766507014
DNA,497,0,16,1052.7152913275604
Worst-Case,497,0,327,21514.868766507014
DNA,498,0,16,1052.7152913275604
Worst-Case,498,0,327,21514.868766507014
DNA,499,0,16,1052.7152913275604
Worst-Case,499,0,327,21514.868766507014
DNA,500,0,16,1052.7152913275604
Worst-Case,500,0,327,21514.868766507014
DNA,501,0,16,1052.7152913275604
Worst-Case,501,0,327,21514.868766507014
DNA,502,0,16,1052.7152913275604
Worst-Case,502,0,327,21514.868766507014
DNA,503,0,16,1052.7152913275604
Worst-Case,503,0,327,21514.868766507014
DNA,504,0,16,1052.7152913275604
Worst-Case,504,0,327,21514.868766507014
DNA,505,0,16,1052.7152913275604
Worst-Case,505,0,327,21514.868766507014
DNA,506,0,16,1052.7152913275604
Worst-Case,506,0,327,21514.868766507014
DNA,507,0,16,1052.7152913275604
Worst-Case,507,0,327,21514.868766507014
DNA,508,0,16,1052.7152913275604
Worst-Case,508,0,327,21514.868766507014
DNA,509,0,16,1052.7152913275604
Worst-Case,509,0,327,21514.868766507014
DNA,510,0,16,1052.7152913275604
Worst-Case,510,0,327,21514.868766507014
DNA,511,0,16,1052.7152913275604
Worst-Case,511,0,327,21514.868766507014
DNA,512,0,16,1052.7152913275604
Worst-Case,512,0,327,21514.868766507014
DNA,513,0,16,1052.7152913275604
Worst-Case,513,0,327,21514.868766507014
DNA,514,0,16,1052.7152913275604
Worst-Case,514,0,327,21514.868766507014
DNA,515,0,16,1052.7152913275604
Worst-Case,515,0,327,21514.868766507014
DNA,516,0,16,1052.7152913275604
Worst-Case,516,0,327,21514.868766507014
DNA,517,0,16,1052.7152913275604
Worst-Case,517,0,327,21514.868766507014
DNA,518,0,16,1052.7152913275604
Worst-Case,518,0,327,21514.868766507014
DNA,519,0,16,1052.7152913275604
Worst-Case,519,0,327,21514.868766507014
DNA,520,0,16,1052.7152913275604
Worst-Case,520,0,327,21514.868766507014
DNA,521,0,16,1052.7152913275604
Worst-Case,521,0,327,21514.868766507014
DNA,522,0,16,1052.7152913275604
Worst-Case,522,0,327,21514.868766507014
DNA,523,0,16,1052.7152913275604
Worst-Case,523,0,327,21514.868766507014
DNA,524,0,16,1052.7152913275604
Worst-Case,524,0,327,21514.868766507014
DNA,525,0,16,1052.7152913275604
Worst-Case,525,0,327,21514.868766507014
DNA,526,0,16,1052.7152913275604
Worst-Case,526,0,327,21514.868766507014
DNA,527,0,16,1052.7152913275604
Worst-Case,527,0,327,21514.868766507014
DNA,528,0,16,1052.7152913275604
Worst-Case,528,0,327,21514.868766507014
DNA,529,0,16,1052.7152913275604
Worst-Case,529,0,327,21514.868766507014
DNA,530,0,16,1052.7152913275604
Worst-Case,530,0,327,21514.868766507014
DNA,531,0,16,1052.7152913275604
Worst-Case,531,0,327,21514.868766507014
DNA,532,0,16,1052.7152913275604
Worst-Case,532,0,327,21514.868766507014
DNA,533,0,16,1052.7152913275604
Worst-Case,533,0,327,21514.868766507014
DNA,534,0,16,1052.7152913275604
Worst-Case,534,0,327,21514.868766507014
DNA,535,0,16,1052.7152913275604
Worst-Case,535,0,327,21514.868766507014
DNA,536,0,16,1052.7152913275604
Worst-Case,536,0,327,21514.868766507014
DNA,537,0,16,1052.7152913275604
Worst-Case,537,0,327,21514.868766507014
DNA,538,0,16,1052.7152913275604
Worst-Case,538,0,327,21514.868766507014
DNA,539,0,16,1052.7152913275604
Worst-Case,539,0,327,21514.868766507014
DNA,540,0,16,1052.7152913275604
Worst-Case,540,0,327,21514.868766507014
DNA,541,0,16,1052.7152913275604
Worst-Case,541,0,327,21514.868766507014
DNA,542,0,16,1052.7152913275604
Worst-Case,542,0,327,21514.868766507014
DNA,543,0,16,1052.7152913275604
Worst-Case,543,0,327,21514.868766507014
DNA,544,0,16,1052.7152913275604
Worst-Case,544,0,327,21514.868766507014
DNA,545,0,16,1052.7152913275604
Worst-Case,545,0,327,21514.868766507014
DNA,546,0,16,1052.7152913275604
Worst-Case,546,0,327,21514.868766507014
DNA,547,0,16,1052.7152913275604
Worst-Case,547,0,327,21514.868766507014
DNA,548,0,16,1052.7152913275604
Worst-Case,548,0,327,21514.868766507014
DNA,549,0,16,1052.7152913275604
Worst-Case,549,0,327,21514.868766507014
DNA,550,0,16,1052.7152913275604
Worst-Case,550,0,327,21514.868766507014
DNA,551,0,16,1052.7152913275604
Worst-Case,551,0,327,21514.868766507014
DNA,552,0,16,1052.7152913275604
Worst-Case,552,0,327,21514.868766507014
DNA,553,0,16,1052.7152913275604
Worst-Case,553,0,327,21514.868766507014
DNA,554,0,16,1052.7152913275604
Worst-Case,554,0,327,21514.868766507014
DNA,555,0,16,1052.7152913275604
Worst-Case,555,0,327,21514.868766507014
DNA,556,0,16,1052.7152913275604
Worst-Case,556,0,327,21514.868766507014
DNA,557,0,16,1052.7152913275604
Worst-Case,557,0,327,21514.868766507014
DNA,558,0,16,1052.7152913275604
Worst-Case,558,0,327,21514.868766507014
DNA,559,0,16,1052.7152913275604
Worst-Case,559,0,327,21514.868766507014
DNA,560,0,16,1052.7152913275604
Worst-Case,560,0,327,21514.868766507014
DNA,561,0,16,1052.7152913275604
Worst-Case,561,0,327,21514.868766507014
DNA,562,0,16,1052.7152913275604
Worst-Case,562,0,327,21514.868766507014
DNA,563,0,16,1052.7152913275604
Worst-Case,563,0,327,21514.868766507014
DNA,564,0,16,1052.7152913275604
Worst-Case,564,0,327,21514.868766507014
DNA,565,0,16,1052.7152913275604
Worst-Case,565,0,327,21514.868766507014
DNA,566,0,16,1052.7152913275604
Worst-Case,566,0,327,21514.868766507014
DNA,567,0,16,1052.7152913275604
Worst-Case,567,0,327,21514.868766507014
DNA,568,0,16,1052.7152913275604
Worst-Case,568,0,327,21514.868766507014
DNA,569,0,16,1052.7152913275604
Worst-Case,569,0,327,21514.868766507014
DNA,570,0,16,1052.7152913275604
Worst-Case,570,0,327,21514.868766507014
DNA,571,0,16,1052.7152913275604
Worst-Case,571,0,327,21514.868766507014
DNA,572,0,16,1052.7152913275604
Worst-Case,572,0,327,21514.868766507014
DNA,573,0,16,1052.7152913275604
Worst-Case,573,0,327,21514.868766507014
DNA,574,0,16,1052.7152913275604
Worst-Case,574,0,327,21514.868766507014
DNA,575,0,16,1052.7152913275604
Worst-Case,575,0,327,21514.868766507014
DNA,576,0,16,1052.7152913275604
Worst-Case,576,0,327,21514.868766507014
DNA,577,0,16,1052.7152913275604
Worst-Case,577,0,327,21514.868766507014
DNA,578,0,16,1052.7152913275604
Worst-Case,578,0,327,21514.868766507014
DNA,579,0,16,1052.7152913275604
Worst-Case,579,0,327,21514.868766507014
DNA,580,0,16,1052.7152913275604
Worst-Case,580,0,327,21514.868766507014
DNA,581,0,16,1052.7152913275604
Worst-Case,581,0,327,21514.868766507014
DNA,582,0,16,1052.7152913275604
Worst-Case,582,0,327,21514.868766507014
DNA,583,0,16,1052.7152913275604
Worst-Case,583,0,327,21514.868766507014
DNA,584,0,16,1052.7152913275604
Worst-Case,584,0,327,21514.868766507014
DNA,585,0,16,1052.7152913275604
Worst-Case,585,0,327,21514.868766507014
DNA,586,0,16,1052.7152913275604
Worst-Case,586,0,327,21514.868766507014
DNA,587,0,16,1052.7152913275604
Worst-Case,587,0,327,21514.868766507014
DNA,588,0,16,1052.7152913275604
Worst-Case,588,0,327,21514.868766507014
DNA,589,0,16,1052.7152913275604
Worst-Case,589,0,327,21514.868766507014
DNA,590,0,16,1052.7152913275604
Worst-Case,590,0,327,21514.868766507014
DNA,591,0,16,1052.7152913275604
Worst-Case,591,0,327,21514.868766507014
DNA,592,0,16,1052.7152913275604
Worst-Case,592,0,327,21514.868766507014
DNA,593,0,16,1052.7152913275604
Worst-Case,593,0,327,21514.868766507014
DNA,594,0,16,1052.7152913275604
Worst-Case,594,0,327,21514.868766507014
DNA,595,0,16,1052.7152913275604
Worst-Case,595,0,327,21514.868766507014
DNA,596,0,16,1052.7152913275604
Worst-Case,596,0,327,21514.868766507014
DNA,597,0,16,1052.7152913275604
Worst-Case,597,0,327,21514.868766507014
DNA,598,0,16,1052.7152913275604
Worst-Case,598,0,327,21514.868766507014
DNA,599,0,16,1052.7152913275604
Worst-Case,599,0,327,21514.868766507014
DNA,600,0,16,1052.7152913275604
Worst-Case,600,0,327,21514.868766507014
DNA,601,0,16,1052.7152913275604
Worst-Case,601,0,327,21514.868766507014
DNA,602,0,16,1052.7152913275604
Worst-Case,602,0,327,21514.868766507014
DNA,603,0,16,1052.7152913275604
Worst-Case,603,0,327,21514.868766507014
DNA,604,0,16,1052.7152913275604
Worst-Case,604,0,327,21514.868766507014
DNA,605,0,16,1052.7152913275604
Worst-Case,605,0,327,21514.868766507014
DNA,606,0,16,1052.7152913275604
Worst-Case,606,0,327,21514.868766507014
DNA,607,0,16,1052.7152913275604
Worst-Case,607,0,327,21514.868766507014
DNA,608,0,16,1052.7152913275604
Worst-Case,608,0,327,21514.868766507014
DNA,609,0,16,1052.7152913275604
Worst-Case,609,0,327,21514.868766507014
DNA,610,0,16,1052.7152913275604
Worst-Case,610,0,327,21514.868766507014
DNA,611,0,16,1052.7152913275604
Worst-Case,611,0,327,21514.868766507014
DNA,612,0,16,1052.7152913275604
Worst-Case,612,0,327,21514.868766507014
DNA,613,0,16,1052.7152913275604
Worst-Case,613,0,327,21514.868766507014
DNA,614,0,16,1052.7152913275604
Worst-Case,614,0,327,21514.868766507014
DNA,615,0,16,1052.7152913275604
Worst-Case,615,0,327,21514.868766507014
DNA,616,0,16,1052.7152913275604
Worst-Case,616,0,327,21514.868766507014
DNA,617,0,16,1052.7152913275604
Worst-Case,617,0,327,21514.868766507014
DNA,618,0,16,1052.7152913275604
Worst-Case,618,0,327,21514.868766507014
DNA,619,0,16,1052.7152913275604
Worst-Case,619,0,327,21514.868766507014
DNA,620,0,16,1052.7152913275604
Worst-Case,620,0,327,21514.868766507014
DNA,621,0,16,1052.7152913275604
Worst-Case,621,0,327,21514.868766507014
DNA,622,0,16,1052.7152913275604
Worst-Case,622,0,327,21514.868766507014
DNA,623,0,16,1052.7152913275604
Worst-Case,623,0,327,21514.868766507014
DNA,624,0,16,1052.7152913275604
Worst-Case,624,0,327,21514.868766507014
DNA,625,0,16,1052.7152913275604
Worst-Case,625,0,327,21514.868766507014
DNA,626,0,16,1052.7152913275604
Worst-Case,626,0,327,21514.868766507014
DNA,627,0,16,1052.7152913275604
Worst-Case,627,0,327,21514.868766507014
DNA,628,0,16,1052.7152913275604
Worst-Case,628,0,327,21514.868766507014
DNA,629,0,16,1052.7152913275604
Worst-Case,629,0,327,21514.868766507014
DNA,630,0,16,1052.7152913275604
Worst-Case,630,0,327,21514.868766507014
DNA,631,0,16,1052.7152913275604
Worst-Case,631,0,327,21514.868766507014
DNA,632,0,16,1052.7152913275604
Worst-Case,632,0,327,21514.868766507014
DNA,633,0,16,1052.7152913275604
Worst-Case,633,0,327,21514.868766507014
DNA,634,0,16,1052.7152913275604
Worst-Case,634,0,327,21514.868766507014
DNA,635,0,16,1052.7152913275604
Worst-Case,635,0,327,21514.868766507014
DNA,636,0,16,1052.7152913275604
Worst-Case,636,0,327,21514.868766507014
DNA,637,0,16,1052.7152913275604
Worst-Case,637,0,327,21514.868766507014
DNA,638,0,16,1052.7152913275604
Worst-Case,638,0,327,21514.868766507014
DNA,639,0,16,1052.7152913275604
Worst-Case,639,0,327,21514.868766507014
DNA,640,0,16,1052.7152913275604
Worst-Case,640,0,327,21514.868766507014
DNA,641,0,16,1052.7152913275604
Worst-Case,641,0,327,21514.868766507014
DNA,642,0,16,1052.7152913275604
Worst-Case,642,0,327,21514.868766507014
DNA,643,0,16,1052.7152913275604
Worst-Case,643,0,327,21514.868766507014
DNA,644,0,16,1052.7152913275604
Worst-Case,644,0,327,21514.868766507014
DNA,645,0,16,1052.7152913275604
Worst-Case,645,0,327,21514.868766507014
DNA,646,0,16,1052.7152913275604
Worst-Case,646,0,327,21514.868766507014
DNA,647,0,16,1052.7152913275604
Worst-Case,647,0,327,21514.868766507014
DNA,648,0,16,1052.7152913275604
Worst-Case,648,0,327,21514.868766507014
DNA,649,0,16,1052.7152913275604
Worst-Case,649,0,327,21514.868766507014
DNA,650,0,16,1052.7152913275604
Worst-Case,650,0,327,21514.868766507014
DNA,651,0,16,1052.7152913275604
Worst-Case,651,0,327,21514.868766507014
DNA,652,0,16,1052.7152913275604
Worst-Case,652,0,327,21514.868766507014
DNA,653,0,16,1052.7152913275604
Worst-Case,653,0,327,21514.868766507014
DNA,654,0,16,1052.7152913275604
Worst-Case,654,0,327,21514.868766507014
DNA,655,0,16,1052.7152913275604
Worst-Case,655,0,327,21514.868766507014
DNA,656,0,16,1052.7152913275604
Worst-Case,656,0,327,21514.868766507014
DNA,657,0,16,1052.7152913275604
Worst-Case,657,0,327,21514.868766507014
DNA,658,0,16,1052.7152913275604
Worst-Case,658,0,327,21514.868766507014
DNA,659,0,16,1052.7152913275604
Worst-Case,659,0,327,21514.868766507014
DNA,660,0,16,1052.7152913275604
Worst-Case,660,0,327,21514.868766507014
DNA,661,0,16,1052.7152913275604
Worst-Case,661,0,327,21514.868766507014
DNA,662,0,16,1052.7152913275604
Worst-Case,662,0,327,21514.868766507014
DNA,663,0,16,1052.7152913275604
Worst-Case,663,0,327,21514.868766507014
DNA,664,0,16,1052.7152913275604
Worst-Case,664,0,327,21514.868766507014
DNA,665,0,16,1052.7152913275604
Worst-Case,665,0,327,21514.868766507014
DNA,666,0,16,1052.7152913275604
Worst-Case,666,0,327,21514.868766507014
DNA,667,0,16,1052.7152913275604
Worst-Case,667,0,327,21514.868766507014
DNA,668,0,16,1052.7152913275604
Worst-Case,668,0,327,21514.868766507014
DNA,669,0,16,1052.7152913275604
Worst-Case,669,0,327,21514.868766507014
DNA,670,0,16,1052.7152913275604
Worst-Case,670,0,327,21514.868766507014
DNA,671,0,16,1052.7152913275604
Worst-Case,671,0,327,21514.868766507014
DNA,672,0,16,1052.7152913275604
Worst-Case,672,0,327,21514.868766507014
DNA,673,0,16,1052.7152913275604
Worst-Case,673,0,327,21514.868766507014
DNA,674,0,16,1052.7152913275604
Worst-Case,674,0,327,21514.868766507014
DNA,675,0,16,1052.7152913275604
Worst-Case,675,0,327,21514.868766507014
DNA,676,0,16,1052.7152913275604
Worst-Case,676,0,327,21514.868766507014
DNA,677,0,16,1052.7152913275604
Worst-Case,677,0,327,21514.868766507014
DNA,678,0,16,1052.7152913275604
Worst-Case,678,0,327,21514.868766507014
DNA,679,0,16,1052.7152913275604
Worst-Case,679,0,327,21514.868766507014
DNA,680,0,16,1052.7152913275604
Worst-Case,680,0,327,21514.868766507014
DNA,681,0,16,1052.7152913275604
Worst-Case,681,0,327,21514.868766507014
DNA,682,0,16,1052.7152913275604
Worst-Case,682,0,327,21514.868766507014
DNA,683,0,16,1052.7152913275604
Worst-Case,683,0,327,21514.868766507014
DNA,684,0,16,1052.7152913275604
Worst-Case,684,0,327,21514.868766507014
DNA,685,0,16,1052.7152913275604
Worst-Case,685,0,327,21514.868766507014
DNA,686,0,16,1052.7152913275604
Worst-Case,686,0,327,21514.868766507014
DNA,687,0,16,1052.7152913275604
Worst-Case,687,0,327,21514.868766507014
DNA,688,0,16,1052.7152913275604
Worst-Case,688,0,327,21514.868766507014
DNA,689,0,16,1052.7152913275604
Worst-Case,689,0,327,21514.868766507014
DNA,690,0,16,1052.7152913275604
Worst-Case,690,0,327,21514.868766507014
DNA,691,0,16,1052.7152913275604
Worst-Case,691,0,327,21514.868766507014
DNA,692,0,16,1052.7152913275604
Worst-Case,692,0,327,21514.868766507014
DNA,693,0,16,1052.7152913275604
Worst-Case,693,0,327,21514.868766507014
DNA,694,0,16,1052.7152913275604
Worst-Case,694,0,327,21514.868766507014
DNA,695,0,16,1052.7152913275604
Worst-Case,695,0,327,21514.868766507014
