String_Type,L_value,Irreducible_Count,LZ77_z,Theoretical_Max_Bound
DNA,80,0,16,1052.7152913275604
Worst-Case,80,0,327,21514.868766507014
DNA,81,0,16,1052.7152913275604
Worst-Case,81,0,327,21514.868766507014
DNA,82,0,16,1052.7152913275604
Worst-Case,82,0,327,21514.868766507014
DNA,83,0,16,1052.7152913275604
Worst-Case,83,0,327,21514.868766507014
DNA,84,0,16,1052.7152913275604
Worst-Case,84,0,327,21514.868766507014
DNA,85,0,16,1052.7152913275604
Worst-Case,85,0,327,21514.868766507014
DNA,86,0,16,1052.7152913275604
Worst-Case,86,0,327,21514.868766507014
DNA,87,0,16,1052.7152913275604
Worst-Case,87,0,327,21514.868766507014
DNA,88,0,16,1052.7152913275604
Worst-Case,88,0,327,21514.868766507014
DNA,89,0,16,1052.7152913275604
Worst-Case,89,0,327,21514.868766507014
DNA,90,0,16,1052.7152913275604
Worst-Case,90,0,327,21514.868766507014
DNA,91,0,16,1052.7152913275604
Worst-Case,91,0,327,21514.868766507014
DNA,92,0,16,1052.7152913275604
Worst-Case,92,0,327,21514.868766507014
DNA,93,0,16,1052.7152913275604
Worst-Case,93,0,327,21514.868766507014
DNA,94,0,16,1052.7152913275604
Worst-Case,94,0,327,21514.868766507014
DNA,95,0,16,1052.7152913275604
Worst-Case,95,0,327,21514.868766507014
DNA,96,0,16,1052.7152913275604
Worst-Case,96,0,327,21514.868766507014
DNA,97,0,16,1052.7152913275604
Worst-Case,97,0,327,21514.868766507014
DNA,98,0,16,1052.7152913275604
Worst-Case,98,0,327,21514.868766507014
DNA,99,0,16,1052.7152913275604
Worst-Case,99,0,327,21514.868766507014
DNA,100,0,16,1052.7152913275604
Worst-Case,100,0,327,21514.868766507014
DNA,101,0,16,1052.7152913275604
Worst-Case,101,0,327,21514.868766507014
DNA,102,0,16,1052.7152913275604
Worst-Case,102,0,327,21514.868766507014
DNA,103,0,16,1052.7152913275604
Worst-Case,103,0,327,21514.868766507014
DNA,104,0,16,1052.7152913275604
Worst-Case,104,0,327,21514.868766507014
DNA,105,0,16,1052.7152913275604
Worst-Case,105,0,327,21514.868766507014
DNA,106,0,16,1052.7152913275604
Worst-Case,106,0,327,21514.868766507014
DNA,107,0,16,1052.7152913275604
Worst-Case,107,0,327,21514.868766507014
DNA,108,0,16,1052.7152913275604
